 ,TRUE BELIEVER,THE DA VINCI CODE,THE WORLD IS FLAT,MY LIFE SO FAR,THE TAKING,THE KITE RUNNER,RUNNY BABBIT,HARRY POTTER
U1,2,4, ,3, , ,1,1
U2, ,5, , ,3,2,1, 
U3,3, ,1,2,2, , ,5
U4, ,3, , ,4,1, ,3
U5,2,4,3, , ,2,1, 
U6,5,4, ,3,1, ,3,1
U7,1,4,5,5,3, , ,4
U8,2,2, , ,4,5,1, 
U9, , ,4,2,1, , ,5
U10,3,5,1, , , ,4,4
U11,2, ,2,4, ,1, ,2
U12,5,4, ,2, ,1,1,3
U13, , ,2, ,4, ,4,5
U14, ,1,2,3,4, ,5,5
U15, ,3, , ,5,3, ,2
U16, ,3,2,1,1, ,4, 
U17,1,5,1,2, ,4, ,4
U18,5, ,4, ,2,1,3,5
U19, ,3, ,2, ,4,1,4
U20,2,5,1,1,5,4, ,4
,,,,,,,,
NU1,4, ,5,3,2,3, ,4
NU2, ,5,2,5,3, ,2, 
NU3,2,1, , ,2,3,4,1
NU4,3,5,1,1, ,1, ,3
NU5, ,2,3,2,1, ,3, 
